Solyc01g094900.1	9316
Gene	P-Value	Binary
Solyc09g092020.5	3.324119335020958e-05	0
Solyc10g039383.1	8.430119017327828e-05	0
Solyc03g093380.2	0.0001332196425748741	0
Solyc10g005820.3	0.0001332196425748741	0
Solyc07g006610.3	0.00017466385745180835	0
Solyc01g066616.2	0.00018074109692397782	0
Solyc08g079440.1	0.00019504489037717014	0
Solyc04g007790.3	0.0002564256384090534	0
Solyc10g075100.2	0.0002564256384090534	0
Solyc09g018670.3	0.00030629225614295683	0
Solyc04g079870.2	0.00032950110170184514	0
Solyc07g049563.1	0.0003308225340564759	0
Solyc12g036920.1	0.0003490984311288287	0
Solyc03g093343.1	0.0003600826721369551	0
Solyc09g098130.3	0.000375183637766423	0
Solyc09g098140.5	0.000375183637766423	0
Solyc10g049250.4	0.0004153535928281937	0
Solyc01g087630.2	0.00042360426397612346	0
Solyc02g080510.1	0.00042505763174757586	0
Solyc02g078690.2	0.000466660751331738	0
Solyc06g054240.3	0.0004806644423190506	0
Solyc01g109840.3	0.0004810688371239703	0
Solyc03g094010.3	0.0004810688371239703	0
Solyc10g076750.2	0.0004810688371239703	0
Solyc09g056200.3	0.0005394244248872114	0
Solyc02g071710.3	0.0005439042761802309	0
Solyc09g065940.4	0.0005439042761802309	0
Solyc06g051575.1	0.0005886435402005193	0
Solyc01g005100.4	0.0006143189795117047	0
Solyc02g161610.1	0.000637828260283051	0
Solyc08g078920.2	0.000646756936999564	0
Solyc00g052430.3	0.0006505279063210208	0
Solyc10g006170.4	0.0006920376999561611	0
Solyc08g078950.3	0.0006931416271185094	0
Solyc01g079190.2	0.0007664400158547787	0
Solyc04g070995.1	0.0007720527782223116	0
Solyc03g113820.3	0.0007733621973102898	0
Solyc03g025650.2	0.0007737384923749766	0
Solyc01g066900.4	0.0007812805315301843	0
Solyc07g049565.1	0.0007812805315301843	0
Solyc05g055960.1	0.0007812805315301843	0
Solyc05g017797.2	0.0008788948334043403	0
Solyc07g062040.3	0.0008790544787271971	0
Solyc01g105800.4	0.000879729969667957	0
Solyc08g005870.2	0.000879729969667957	0
Solyc03g093340.4	0.0009331245578808473	0
Solyc09g057760.4	0.0009865957759527932	0
Solyc09g090900.4	0.0009888310305271803	0
Solyc08g078850.3	0.0009888310305271803	0
Solyc01g005410.5	0.0009895768685524184	0
Solyc03g097360.3	0.0009895768685524184	0
Solyc09g083120.3	0.0009895768685524184	0
Solyc10g024365.1	0.0010545478054319146	0
Solyc08g006170.1	0.0011120078481345911	0
Solyc07g062970.3	0.0011120078481345911	0
Solyc09g061890.3	0.0011120078481345911	0
Solyc09g092670.3	0.0011120078481345911	0
Solyc12g056710.4	0.0011120078481345911	0
Solyc09g090410.3	0.0011120078481345911	0
Solyc00g024160.3	0.0011304114638969812	0
Solyc04g014550.3	0.0011731680714561345	0
Solyc01g088220.3	0.0012025955368731944	0
Solyc10g050910.1	0.0012392756211460259	0
Solyc11g042873.1	0.0012416333153653049	0
