Solyc03g007030.3	2286
Gene	P-Value	Binary
Solyc07g056160.4	2.875050313380484e-06	0
Solyc04g026060.1	2.5366297717189816e-05	0
Solyc09g098230.3	4.3365342226822296e-05	0
Solyc07g054970.1	5.145487356525392e-05	0
Solyc01g109840.3	0.00010374139880781247	0
Solyc03g044100.4	0.00010374139880781247	0
Solyc03g114050.3	0.00010374139880781247	0
Solyc07g009265.1	0.00010782181587997469	0
Solyc01g098690.2	0.00013512736472888275	0
Solyc01g107560.3	0.00013512736472888275	0
Solyc03g071620.2	0.00013512736472888275	0
Solyc03g093380.2	0.00017441971901174938	0
Solyc07g056460.3	0.00017441971901174938	0
Solyc07g054940.2	0.00017441971901174938	0
Solyc06g071600.3	0.00017441971901174938	0
Solyc09g090980.3	0.00017441971901174938	0
Solyc11g065270.2	0.00017441971901174938	0
Solyc07g041820.3	0.00020811692205826288	0
Solyc03g034190.3	0.0002225768117608725	0
Solyc06g060440.2	0.0002225768117608725	0
Solyc07g053010.3	0.00023549327318333598	0
Solyc03g058910.3	0.0002463180104078102	0
Solyc02g094440.4	0.00028199451823740247	0
Solyc01g081450.3	0.00028199451823740247	0
Solyc03g025840.3	0.00028199451823740247	0
Solyc03g005920.4	0.00028199451823740247	0
Solyc03g117270.1	0.00028199451823740247	0
Solyc03g058920.3	0.00028199451823740247	0
Solyc06g051960.3	0.00028199451823740247	0
Solyc07g055160.4	0.00028199451823740247	0
Solyc07g018040.1	0.00033618320609731303	0
Solyc08g007700.1	0.0003371760931953094	0
Solyc04g007925.1	0.00035262051525125713	0
Solyc02g086050.3	0.0003538707760719146	0
Solyc02g062550.3	0.0003538707760719146	0
Solyc07g061930.1	0.0003538707760719146	0
Solyc08g075790.5	0.0003538707760719146	0
Solyc02g090990.1	0.00037422853023469366	0
Solyc01g101070.3	0.00037422853023469366	0
Solyc07g007660.1	0.00037422853023469366	0
Solyc12g150127.1	0.0004016764092273394	0
Solyc01g110647.1	0.000415299283441572	0
Solyc01g108800.4	0.00044108063557778924	0
Solyc01g010050.3	0.00044108063557778924	0
Solyc03g019860.3	0.00044108063557778924	0
Solyc04g063390.2	0.00044108063557778924	0
Solyc08g082980.2	0.00044108063557778924	0
Solyc11g013020.2	0.00044108063557778924	0
Solyc11g012490.2	0.00044108063557778924	0
Solyc08g080610.1	0.00047117643492216406	0
Solyc07g056080.1	0.0004825209542941337	0
Solyc01g087990.3	0.0005049394467245814	0
Solyc03g025430.1	0.0005049394467245814	0
Solyc01g088230.3	0.0005434832211972963	0
Solyc01g104220.3	0.0005455407969639468	0
Solyc03g063350.3	0.0005455407969639468	0
Solyc07g065870.3	0.0005455407969639468	0
Solyc08g075720.3	0.0005455407969639468	0
Solyc08g007520.4	0.0005455407969639468	0
Solyc07g054180.5	0.0005455407969639468	0
Solyc09g065940.4	0.0005455407969639468	0
Solyc11g073030.1	0.0005832385197313812	0
Solyc05g055410.3	0.0005861952404687857	0
Solyc10g086780.2	0.0006686772698846448	0
Solyc01g095650.4	0.0006706054855959979	0
Solyc03g110970.3	0.0006706054855959979	0
Solyc03g121890.1	0.0006706054855959979	0
Solyc04g007400.4	0.0006706054855959979	0
Solyc03g051970.3	0.0006706054855959979	0
Solyc10g008990.5	0.0006706054855959979	0
Solyc02g150149.1	0.0006789363386206195	0
Solyc02g091820.3	0.0007851687683267563	0
Solyc02g065650.1	0.0007857828808769654	0
Solyc07g026640.3	0.0007857828808769654	0
Solyc06g053640.1	0.0007857828808769654	0
Solyc01g080660.3	0.0008186705767350928	0
Solyc01g007880.4	0.0008186705767350928	0
Solyc03g083680.1	0.0008186705767350928	0
Solyc03g116150.4	0.0008186705767350928	0
Solyc03g081260.4	0.0008186705767350928	0
Solyc12g006973.1	0.0008186705767350928	0
Solyc10g086565.2	0.0008186705767350928	0
Solyc10g018530.2	0.0008186705767350928	0
Solyc12g096320.2	0.0008186705767350928	0
Solyc06g065820.3	0.0008445418744448273	0
Solyc01g006530.1	0.0009100620019292317	0
Solyc02g079180.1	0.000930235897747471	0
Solyc02g063210.1	0.0009773717702729948	0
Solyc01g103050.3	0.0009942882333774173	0
Solyc01g108580.3	0.0009942882333774173	0
Solyc05g009740.1	0.0009942882333774173	0
Solyc04g026250.1	0.0009942882333774173	0
Solyc03g082660.3	0.0009942882333774173	0
Solyc03g118200.4	0.0009942882333774173	0
Solyc05g055960.1	0.0009942882333774173	0
Solyc09g009440.3	0.0009942882333774173	0
Solyc06g071810.1	0.0009942882333774173	0
Solyc11g007770.2	0.0009942882333774173	0
Solyc02g087830.4	0.001043820750681282	0
Solyc07g006420.1	0.001044601571464653	0
Solyc04g006983.1	0.0011311555072023613	0
Solyc02g094030.3	0.001200333505836352	0
Solyc01g104400.3	0.001200333505836352	0
Solyc01g044558.1	0.001200333505836352	0
Solyc03g007860.1	0.001200333505836352	0
Solyc02g091730.3	0.001200333505836352	0
Solyc04g082155.1	0.001200333505836352	0
Solyc08g006170.1	0.001200333505836352	0
