Solyc12g006940.2	17172
Gene	P-Value	Binary
Solyc12g009800.3	0.00030340027962908427	0
Solyc12g010140.2	0.00030340027962908427	0
Solyc03g160940.1	0.0003216239533149075	0
Solyc03g044790.3	0.0003216239533149075	0
Solyc12g038090.1	0.00033851012274808685	0
Solyc03g006360.3	0.0003411769122503277	0
Solyc02g086730.3	0.00034268566484287505	0
Solyc05g007570.4	0.00034268566484287505	0
Solyc07g043610.3	0.00034268566484287505	0
Solyc11g039840.2	0.00034268566484287505	0
Solyc12g096295.1	0.00034268566484287505	0
Solyc12g009920.1	0.00034268566484287505	0
Solyc12g042700.4	0.00034268566484287505	0
Solyc01g095180.2	0.0003637487376806318	0
Solyc06g150100.1	0.00036758513157220644	0
Solyc12g011070.3	0.0003679087104020991	0
Solyc01g009960.4	0.0003772579968249276	0
Solyc01g005900.3	0.00038602046379181647	0
Solyc01g065690.3	0.00038669080236729346	0
Solyc02g087750.3	0.00038669080236729346	0
Solyc05g007910.3	0.00038669080236729346	0
Solyc08g006890.3	0.00038669080236729346	0
Solyc07g047750.3	0.00038669080236729346	0
Solyc11g013200.2	0.00038669080236729346	0
Solyc05g150103.1	0.0003976848162592168	0
Solyc01g099190.4	0.00040255758888172913	0
Solyc03g095710.4	0.0004102700554734212	0
Solyc07g063530.3	0.0004102700554734212	0
Solyc03g093340.4	0.00041940137780807483	0
Solyc07g055120.4	0.00043556161352015466	0
Solyc12g006575.1	0.00043556161352015466	0
Solyc01g009390.4	0.0004359332589339597	0
Solyc01g022750.3	0.0004359332589339597	0
Solyc05g054720.3	0.0004359332589339597	0
Solyc08g062760.1	0.0004359332589339597	0
Solyc09g007470.3	0.0004359332589339597	0
Solyc09g075090.1	0.0004359332589339597	0
Solyc11g007360.1	0.0004359332589339597	0
Solyc02g065260.4	0.000452415324527141	0
Solyc10g083400.1	0.0004543944502853932	0
Solyc12g044180.3	0.00045482725075843457	0
Solyc08g080230.1	0.0004584043230561378	0
Solyc07g024010.2	0.0004750855334727059	0
Solyc07g053100.4	0.000490158271191067	0
Solyc05g052010.2	0.000490569545997175	0
Solyc02g090170.3	0.0004909810630967642	0
Solyc06g007680.1	0.0004909810630967642	0
Solyc03g082600.4	0.0004909810630967642	0
Solyc03g118800.3	0.0004909810630967642	0
Solyc07g052510.4	0.0004909810630967642	0
Solyc07g018350.2	0.0004909810630967642	0
Solyc08g007590.3	0.0004909810630967642	0
Solyc08g008070.1	0.0004909810630967642	0
Solyc07g007110.4	0.0004909810630967642	0
Solyc06g069070.1	0.0004909810630967642	0
Solyc12g026400.2	0.0004909810630967642	0
Solyc02g083350.4	0.0005204414446348174	0
Solyc10g047660.1	0.0005418227712739336	0
Solyc01g110140.5	0.0005520017003546448	0
Solyc03g059397.1	0.0005520017003546448	0
Solyc08g005090.3	0.0005520017003546448	0
Solyc01g066590.3	0.0005524568717874443	0
Solyc02g090840.3	0.0005524568717874443	0
Solyc01g105430.4	0.0005524568717874443	0
Solyc05g023725.1	0.0005524568717874443	0
Solyc04g074520.1	0.0005524568717874443	0
Solyc05g014490.3	0.0005524568717874443	0
Solyc05g014500.3	0.0005524568717874443	0
Solyc07g041490.3	0.0005524568717874443	0
Solyc06g062900.4	0.0005524568717874443	0
Solyc11g072300.2	0.0005524568717874443	0
Solyc09g075580.1	0.0005524568717874443	0
Solyc12g013870.3	0.0005524568717874443	0
Solyc10g081010.3	0.0005524568717874443	0
Solyc11g068890.3	0.0005524568717874443	0
Solyc12g057110.2	0.0005524568717874443	0
Solyc12g011080.3	0.0005749479211186534	0
Solyc06g008780.3	0.0005853373689108771	0
