Solyc03g033980.4	9113
Gene	P-Value	Binary
Solyc03g007370.3	1.026803683350173e-06	0
Solyc09g014215.3	1.026803683350173e-06	0
Solyc06g060880.5	2.053607366700346e-06	0
Solyc05g044620.3	4.107214733400692e-06	0
Solyc06g050710.4	7.187625783451211e-06	0
Solyc09g005610.4	7.187625783451211e-06	0
Solyc07g008380.2	7.187625783451211e-06	0
Solyc07g008390.4	7.187625783451211e-06	0
Solyc10g044840.2	7.187625783451211e-06	0
Solyc01g073710.2	1.2321644200202076e-05	0
Solyc01g006140.4	1.2321644200202076e-05	0
Solyc11g010130.4	1.2321644200202076e-05	0
Solyc11g066930.1	1.2321644200202076e-05	0
Solyc02g081760.2	1.5097559057731166e-05	0
Solyc05g051810.1	1.5097559057731166e-05	0
Solyc02g030300.3	1.9509269983653285e-05	0
Solyc02g071400.3	1.9509269983653285e-05	0
Solyc04g074900.3	1.9509269983653285e-05	0
Solyc08g065840.3	1.9509269983653285e-05	0
Solyc12g096220.2	1.9509269983653285e-05	0
Solyc02g081740.2	2.0677516088871046e-05	0
Solyc03g006800.1	3.080411050050519e-05	0
Solyc02g065700.3	3.080411050050519e-05	0
Solyc04g005340.2	3.080411050050519e-05	0
Solyc06g074000.1	3.080411050050519e-05	0
Solyc09g098440.4	3.080411050050519e-05	0
Solyc01g056450.3	3.640155258570415e-05	0
Solyc02g080490.3	4.517936206740761e-05	0
Solyc02g093220.3	4.517936206740761e-05	0
Solyc05g052920.5	4.517936206740761e-05	0
Solyc03g121090.4	4.517936206740761e-05	0
Solyc05g006510.3	4.517936206740761e-05	0
Solyc03g044150.4	4.517936206740761e-05	0
Solyc06g073180.3	4.517936206740761e-05	0
Solyc07g006380.3	4.517936206740761e-05	0
Solyc06g064450.3	4.517936206740761e-05	0
Solyc07g055140.3	4.517936206740761e-05	0
Solyc11g013080.3	4.517936206740761e-05	0
Solyc10g086710.3	4.517936206740761e-05	0
Solyc11g013210.3	4.9362950070812034e-05	0
Solyc12g044954.1	4.9362950070812034e-05	0
Solyc11g160450.1	4.9362950070812034e-05	0
Solyc02g093720.3	6.571543573441107e-05	0
Solyc02g080670.3	6.571543573441107e-05	0
Solyc03g005000.4	6.571543573441107e-05	0
Solyc01g111040.4	6.571543573441107e-05	0
Solyc02g088390.4	6.571543573441107e-05	0
Solyc04g009050.4	6.571543573441107e-05	0
Solyc04g053030.1	6.571543573441107e-05	0
Solyc03g096960.4	6.571543573441107e-05	0
Solyc05g054860.1	6.571543573441107e-05	0
Solyc05g051240.1	6.571543573441107e-05	0
Solyc05g009120.3	6.571543573441107e-05	0
Solyc10g052660.5	6.571543573441107e-05	0
Solyc12g042180.1	6.571543573441107e-05	0
Solyc11g012790.2	6.571543573441107e-05	0
Solyc03g071680.2	7.030082452572595e-05	0
Solyc10g087035.1	7.135257664747129e-05	0
Solyc01g020120.4	8.15214299989904e-05	0
Solyc01g160460.1	8.15214299989904e-05	0
Solyc01g160470.1	8.15214299989904e-05	0
Solyc01g056380.1	8.15214299989904e-05	0
Solyc01g056390.1	8.15214299989904e-05	0
Solyc01g056400.1	8.15214299989904e-05	0
Solyc01g056410.1	8.15214299989904e-05	0
Solyc02g161240.1	8.15214299989904e-05	0
Solyc01g162620.1	8.15214299989904e-05	0
Solyc04g025653.1	8.15214299989904e-05	0
Solyc04g026023.2	8.15214299989904e-05	0
Solyc05g018215.1	8.15214299989904e-05	0
Solyc04g054840.1	8.15214299989904e-05	0
Solyc07g062370.1	8.15214299989904e-05	0
Solyc08g067700.1	8.15214299989904e-05	0
Solyc10g162560.1	8.15214299989904e-05	0
Solyc03g007410.5	9.241233150151556e-05	0
Solyc01g099030.4	9.241233150151556e-05	0
Solyc01g109500.4	9.241233150151556e-05	0
Solyc02g087110.3	9.241233150151556e-05	0
Solyc03g005100.3	9.241233150151556e-05	0
Solyc01g008010.3	9.241233150151556e-05	0
Solyc05g053760.5	9.241233150151556e-05	0
Solyc04g040160.4	9.241233150151556e-05	0
Solyc05g009080.5	9.241233150151556e-05	0
Solyc05g051580.3	9.241233150151556e-05	0
Solyc07g040950.3	9.241233150151556e-05	0
Solyc07g066560.1	9.241233150151556e-05	0
Solyc08g077060.3	9.241233150151556e-05	0
Solyc07g064320.3	9.241233150151556e-05	0
Solyc09g011590.4	9.241233150151556e-05	0
Solyc12g005660.2	9.241233150151556e-05	0
Solyc09g098170.5	9.241233150151556e-05	0
Solyc10g086390.2	9.241233150151556e-05	0
Solyc11g068430.3	9.241233150151556e-05	0
Solyc12g008450.2	9.241233150151556e-05	0
Solyc02g077250.2	0.00012835046041877163	0
Solyc02g090890.4	0.00012835046041877163	0
Solyc02g069770.3	0.00012835046041877163	0
Solyc04g064670.3	0.00012835046041877163	0
Solyc04g025540.3	0.00012835046041877163	0
Solyc05g046390.3	0.00012835046041877163	0
Solyc03g117080.4	0.00012835046041877163	0
Solyc03g113290.2	0.00012835046041877163	0
Solyc05g013530.4	0.00012835046041877163	0
Solyc06g076400.3	0.00012835046041877163	0
Solyc07g042970.5	0.00012835046041877163	0
Solyc09g031940.1	0.00012835046041877163	0
Solyc08g059700.2	0.00012835046041877163	0
Solyc07g064280.3	0.00012835046041877163	0
Solyc08g078940.1	0.00012835046041877163	0
Solyc12g062340.2	0.00014472114268795474	0
Solyc11g039577.1	0.00015011629653247484	0
Solyc06g072180.1	0.00016390009583412685	0
Solyc06g050690.3	0.0001672146832327291	0
Solyc12g036740.1	0.0001702761274996782	0
Solyc05g047530.3	0.00017156239223605743	0
Solyc11g010440.3	0.00017206037394772728	0
Solyc01g100380.4	0.00017352982248617925	0
Solyc01g088310.3	0.00017352982248617925	0
Solyc01g106940.4	0.00017352982248617925	0
Solyc03g005900.5	0.00017352982248617925	0
Solyc03g119970.3	0.00017352982248617925	0
Solyc05g053210.5	0.00017352982248617925	0
Solyc04g079310.4	0.00017352982248617925	0
Solyc03g046380.1	0.00017352982248617925	0
Solyc07g041870.3	0.00017352982248617925	0
Solyc07g047670.3	0.00017352982248617925	0
Solyc07g055260.3	0.00017352982248617925	0
Solyc07g008410.4	0.00017352982248617925	0
Solyc11g044900.2	0.00017352982248617925	0
Solyc10g076570.2	0.00017352982248617925	0
Solyc12g009090.3	0.00017352982248617925	0
Solyc11g040030.3	0.00018117304301272342	0
Solyc02g081750.1	0.00020556210935226155	0
Solyc10g052580.3	0.00020589789426947826	0
Solyc04g050060.1	0.00022068050254934638	0
Solyc02g084990.3	0.00023308443612048927	0
Solyc02g081400.3	0.00023308443612048927	0
Solyc02g062230.1	0.00023308443612048927	0
Solyc03g007670.4	0.00023308443612048927	0
Solyc03g019890.3	0.00023308443612048927	0
Solyc01g006000.3	0.00023308443612048927	0
Solyc01g088500.3	0.00023308443612048927	0
Solyc02g092700.3	0.00023308443612048927	0
Solyc05g013680.3	0.00023308443612048927	0
Solyc04g008460.4	0.00023308443612048927	0
Solyc04g057980.3	0.00023308443612048927	0
