Solyc12g036267.1	2237
Gene	P-Value	Binary
Solyc06g065790.1	2.9962189764922884e-05	0
Solyc06g036470.3	4.555947361322765e-05	0
Solyc06g160870.1	4.681212328638462e-05	0
Solyc02g065150.2	4.682123725133151e-05	0
Solyc12g044954.1	4.696707578868744e-05	0
Solyc06g160100.1	5.721245804137441e-05	0
Solyc04g072435.1	7.284361492719974e-05	0
Solyc04g076410.3	0.00010772048524826918	0
Solyc05g008145.1	0.0001082297128296451	0
Solyc01g066590.3	0.00012506643304178143	0
Solyc03g020060.3	0.00012506643304178143	0
Solyc09g161830.1	0.00013475989979242953	0
Solyc01g102670.3	0.0001450215077387303	0
Solyc00g160390.1	0.00016753903036325637	0
Solyc09g009960.3	0.0001679475509217825	0
Solyc06g050690.3	0.0001827125544216221	0
Solyc06g069070.1	0.0001942517619388087	0
Solyc12g057160.1	0.0001942517619388087	0
Solyc10g083395.1	0.00021472759456657263	0
Solyc05g050780.3	0.00021531423131473584	0
Solyc07g007560.3	0.00022439166693736512	0
Solyc09g083003.1	0.00022439166693736512	0
Solyc04g072725.1	0.00023132660625987264	0
Solyc04g079010.1	0.0002343723991485295	0
Solyc06g084825.1	0.00023597121603792962	0
Solyc07g053100.4	0.00024061258396104482	0
Solyc00g500355.1	0.00025451578833007805	0
Solyc02g031980.3	0.0002584065938184782	0
Solyc11g031950.1	0.00025864348402302074	0
Solyc03g020070.5	0.0002588805320503594	0
Solyc04g072034.1	0.0002588805320503594	0
Solyc08g006430.4	0.0002588805320503594	0
Solyc06g066630.1	0.0002588805320503594	0
Solyc06g069760.3	0.0002588805320503594	0
Solyc10g085820.2	0.0002588805320503594	0
Solyc11g007040.2	0.0002588805320503594	0
Solyc07g041770.1	0.0002982932471420175	0
Solyc10g005620.3	0.0002982932471420175	0
Solyc12g082799.1	0.0003146775908723129	0
Solyc04g075016.1	0.00031479057177055876	0
Solyc12g044956.1	0.00033683530948041407	0
Solyc03g078425.2	0.0003415809482556304	0
Solyc06g034030.3	0.0003415809482556304	0
Solyc12g162560.1	0.0003415809482556304	0
Solyc03g006860.3	0.0003432727063412278	0
Solyc10g008580.1	0.0003432727063412278	0
Solyc10g055400.1	0.0003432727063412278	0
Solyc12g014360.2	0.0003432727063412278	0
Solyc07g052540.3	0.00038241040249510215	0
Solyc01g080580.5	0.00039453671111896956	0
Solyc03g043870.3	0.00039453671111896956	0
Solyc07g052170.1	0.00039453671111896956	0
Solyc07g052510.4	0.00039453671111896956	0
Solyc06g068520.3	0.00039453671111896956	0
Solyc09g083007.1	0.00039453671111896956	0
Solyc06g060530.1	0.0004188021843477025	0
Solyc01g108780.4	0.0004528854208716709	0
Solyc02g087650.5	0.0004528854208716709	0
Solyc06g073700.3	0.0004528854208716709	0
Solyc09g065290.4	0.0004528854208716709	0
Solyc10g055240.2	0.0004528854208716709	0
Solyc05g041785.1	0.0004928824916456947	0
Solyc10g005010.5	0.0005183462855754936	0
Solyc02g027080.2	0.0005192093748157458	0
Solyc06g068600.3	0.0005192093748157458	0
Solyc12g088400.1	0.0005192093748157458	0
Solyc09g083020.1	0.0005192093748157458	0
Solyc03g120580.3	0.0005920781142653698	0
Solyc03g007150.3	0.0005940135605918056	0
Solyc03g062660.5	0.0005940135605918056	0
Solyc03g111160.3	0.0005944981074423733	0
Solyc05g006390.1	0.0005944981074423733	0
Solyc07g054190.4	0.0005944981074423733	0
Solyc02g069140.3	0.0006251279791688686	0
Solyc03g063390.1	0.0006343044172240626	0
