Solyc08g076350.3	23807
Gene	P-Value	Binary
Solyc08g160110.1	5.62171333027929e-06	0
Solyc08g008070.1	6.528742152073045e-06	0
Solyc08g074990.3	7.772830408860305e-06	0
Solyc01g108520.2	1.634107186932329e-05	0
Solyc12g044180.3	1.743370163341503e-05	0
Solyc09g089540.5	2.3997751206484977e-05	0
Solyc07g061935.1	3.175851557402024e-05	0
Solyc08g074950.2	3.5412727803162185e-05	0
Solyc08g076620.1	3.646023071889957e-05	0
Solyc08g077380.4	3.91719463298356e-05	0
Solyc10g055545.1	4.4843929977329964e-05	0
Solyc04g008930.2	4.7863514358522496e-05	0
Solyc08g067440.2	6.273422832191232e-05	0
Solyc09g089530.3	6.273422832191232e-05	0
Solyc08g080760.2	6.583403995251139e-05	0
Solyc08g068130.1	9.95039816287147e-05	0
Solyc10g047060.2	0.0001063061735187313	0
Solyc06g050160.4	0.00012087866347317167	0
Solyc08g080870.3	0.00012087866347317167	0
Solyc01g097540.4	0.0001210006543523834	0
Solyc01g098200.3	0.0001210006543523834	0
Solyc01g111030.2	0.0001210006543523834	0
Solyc01g008650.3	0.00013623424777444305	0
Solyc11g051123.1	0.00013745878934317917	0
Solyc01g009480.5	0.00013759535570811754	0
Solyc10g076370.3	0.00015283269499964024	0
Solyc02g150100.1	0.00015479504691949387	0
Solyc01g098520.3	0.00015631725662475083	0
Solyc07g061930.1	0.00017741790259331663	0
Solyc08g077180.3	0.00017741790259331663	0
Solyc03g044744.1	0.00017926244412759182	0
Solyc10g052714.1	0.00019071754480859426	0
Solyc05g008500.3	0.0002009853659207368	0
Solyc01g103390.3	0.00020117573783830027	0
Solyc09g084470.3	0.00020117573783830027	0
Solyc04g051787.1	0.00023144465688516958	0
Solyc10g009590.5	0.00023979935320192757	0
Solyc01g066790.1	0.00025020277128027835	0
Solyc06g075600.3	0.00025745410080935685	0
Solyc01g081185.1	0.0002576902334316444	0
Solyc02g082770.3	0.0002579265234773068	0
Solyc08g077250.4	0.0002579265234773068	0
Solyc09g083003.1	0.0002579265234773068	0
Solyc04g161870.1	0.00026430230344989786	0
Solyc03g113840.3	0.0002771782440457142	0
Solyc05g010800.3	0.00029163445125175296	0
